iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
42,0.3461298377028714,0.0,0.3427070457354759,0.8417889522462955,7.411399434571888,0.8989025356463712,0.8046947025033686,0.8997872491312673,0.9238139139068151,0.9471881426849159,0.1591276252019386,0.2382875605815832,0.2778675282714055,0.3158319870759289,0.7990762611776615,0.8940301445363028,0.9181921714189303,0.9416933805747708,0.021099480754965795,6043385,53013,6096398,8.203125000000001e-06
43,0.32628861821408406,0.0,0.32295409181636725,0.8625146311291476,7.276257830853566,0.924544389036003,0.7954618064535759,0.8983508542392479,0.9234151313687605,0.9473536078866897,0.16288175411119812,0.2552858261550509,0.3054032889584965,0.34299138606108065,0.7893761441626048,0.8921643224673984,0.9174696208348715,0.9415394119286721,0.021601849344369744,6174847,54290,6229137,8.3984375e-06
44,0.29554367201426024,0.0,0.29221008107155444,0.927517999614426,7.3130400628436725,0.9909033357591138,0.7837703167635544,0.8886067940048246,0.9154743544113576,0.9410052596195674,0.16967792615868027,0.2498036135113904,0.2953652788688138,0.34564021995286726,0.7776490118081875,0.8822391706079494,0.909293074826949,0.9350706298744009,0.02210421793377369,6301282,55563,6356845,8.59375e-06
45,0.2902572997976294,0.0,0.28672060923369824,0.9000571929703433,7.20506730007918,0.966893740594234,0.7906951053704963,0.8929044867437118,0.9188987083616588,0.9421312032630863,0.17656373713380838,0.25415676959619954,0.3087885985748218,0.35312747426761676,0.7841739320514869,0.8861219239467644,0.9124202349024323,0.9358768485745272,0.022606586523177638,6418962,56826,6475788,8.789062500000001e-06
46,0.31914383835156934,0.0,0.3159143015258123,0.8547487532309406,7.373015474276527,0.9110830801504627,0.8009917006611338,0.8987410324940217,0.9234139822759881,0.946595864397243,0.16639871382636656,0.2540192926045016,0.2934083601286174,0.33681672025723475,0.7954875055778671,0.8931489848282017,0.9179495760821063,0.9413068942436412,0.023108955112581587,6561142,58070,6619212,8.984375e-06
47,0.31462115232833465,0.0,0.3106975837879969,0.8922693226714576,7.271187697784814,0.9636061836357452,0.792481485121095,0.8937438023173749,0.9194100252820783,0.9432627281417226,0.1787974683544304,0.2697784810126582,0.310126582278481,0.34810126582278483,0.7856291022164115,0.8867766185811079,0.9126067790920575,0.9366171676928648,0.023611323701985532,6673079,59334,6732413,9.1796875e-06
48,0.3079503010900221,0.0,0.30497471125537856,0.8687571615941692,7.039050716440418,0.9234554866519634,0.7950585210561385,0.897542721380545,0.9233740972815808,0.9463585028839876,0.2028657616892911,0.2918552036199095,0.32654600301659126,0.36877828054298645,0.7898202194723325,0.8921850505320036,0.9180947933691338,0.9412494579900603,0.02411369229138948,6821658,60660,6882318,9.375000000000001e-06
49,0.35585687382297554,0.0,0.3524584048347385,0.8452408758800991,7.2474520383693,0.9001347488872543,0.803237797800011,0.8996324139074678,0.9238433475208667,0.9468174783041291,0.17665867306155075,0.2733812949640288,0.31095123900879296,0.3581135091926459,0.7978681865199789,0.8942656135471541,0.918591030216675,0.9417724467217887,0.02461606088079343,6966386,61911,7028297,9.5703125e-06
50,0.32874465049928675,0.0,0.3257704269154651,0.8600265442366084,7.3275642332789515,0.9108404863688523,0.7970614534483536,0.8962952956237014,0.9210490765578864,0.9440659757737164,0.17944535073409462,0.2699836867862969,0.3075040783034258,0.3401305057096248,0.7922285976882376,0.8913943973908104,0.916248077254479,0.9393401711801987,0.025118429470197375,7121837,63137,7184974,9.765625e-06
51,0.3330084922734234,0.0,0.3299986201186698,0.8421526217530864,7.222668810289386,0.8898599150005564,0.8017505788790961,0.9006449501133512,0.9253458120673561,0.9474583873822542,0.18006430868167203,0.2733118971061093,0.32395498392282956,0.364951768488746,0.7970977872432589,0.8959498971230553,0.9208449145098605,0.9430988220289018,0.025620798059601324,7286811,64381,7351192,9.9609375e-06
52,0.30229238391132757,0.0,0.299077843316441,0.8977974255846437,7.008366704805499,0.9530189696634086,0.7924353148927556,0.8921903246295482,0.9173314906715246,0.9421027283958373,0.20671243325705568,0.2929061784897025,0.3318077803203661,0.37833714721586575,0.7871242616646609,0.8867563043809049,0.9120222434327925,0.9369907734019449,0.02612316664900527,7430082,65692,7495774,1.0156250000000001e-05
53,0.3266490765171504,0.0,0.3235272157096991,0.8657856152450029,7.090286144578316,0.9178031332952375,0.7967513198185714,0.8980985149083731,0.9231970365763805,0.946456937750529,0.20080321285140562,0.30522088353413657,0.3365461847389558,0.36947791164658633,0.7917778284243407,0.8931506482015257,0.9183011355257337,0.9416417530265045,0.026625535238409218,7578019,66937,7644956,1.03515625e-05
54,0.31831187410586553,0.0,0.31510621557828483,0.8557830369461736,7.085095397324939,0.9113283818337449,0.7973831300813008,0.8988891711833785,0.9236957994579946,0.9469921522131888,0.1911880409126672,0.2800944138473643,0.3170731707317073,0.35641227380015733,0.7919939566473382,0.893387984639812,0.918302825127477,0.9417418005553729,0.027127903827813167,7719715,68208,7787923,1.0546875e-05
55,0.3488772183991308,0.0,0.34488005728607235,0.7863550780356898,7.305007016840423,0.8493473023673167,0.815580135760519,0.9080187005778888,0.9304483566039372,0.9511987448853289,0.18043303929430635,0.25421010425020046,0.293504410585405,0.3376102646351243,0.8093966647929548,0.9016535506839048,0.9242473924177128,0.9452251577040784,0.027630272417217112,7846556,69455,7916011,1.0742187500000001e-05
56,0.3332792207792208,0.0,0.32985218508997427,0.900134122122644,7.254975000000002,0.9560751078203906,0.7935044845594914,0.8909797910990009,0.9165815168029064,0.9411969232515894,0.188,0.272,0.3032,0.3416,0.7881810125335846,0.8855378469242781,0.9111887915148617,0.9359253893007357,0.02813264100662106,7987484,70705,8058189,1.09375e-05
57,0.3358502195854842,0.0,0.3325703822384985,0.861918500748094,7.2692326635145825,0.9176493457491832,0.7997232243672716,0.8972831924210294,0.9220828399107709,0.9452438654953045,0.19227738376674547,0.28368794326241137,0.3112687155240347,0.3459416863672183,0.794461924880386,0.8919686307699658,0.9167923665476784,0.9400531010900056,0.02863500959602501,8132728,71974,8204702,1.11328125e-05
58,0.3129741143348714,0.0,0.30987224157955867,0.8380851916668124,6.949032447224393,0.8925342811082893,0.802298206278027,0.901632567264574,0.9265204596412556,0.9495725896860987,0.22283033620015638,0.3064894448788116,0.3416731821735731,0.37920250195465205,0.7971513691067299,0.8963465024062667,0.9213258425405731,0.9445065590733269,0.029137378185428955,8275448,73253,8348701,1.1328125000000001e-05
59,0.31053535428955426,0.0,0.3075955920420087,0.9723802046993765,7.086482558139535,1.0248316706518918,0.7799834962464024,0.8822866420228503,0.90867252125026,0.9337837203217562,0.21472868217054264,0.29534883720930233,0.3263565891472868,0.3643410852713178,0.7751335244467797,0.8772506268831437,0.9036761624774687,0.9288978163847632,0.029639746774832904,8424505,74543,8499048,1.15234375e-05
